Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
3,Mr. Owen Harris Braund,male,22,1,0,7.25
1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38,1,0,71.2833
3,Miss. Laina Heikkinen,female,26,0,0,7.925
1,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35,1,0,53.1
3,Mr. William Henry Allen,male,35,0,0,8.05
3,Mr. James Moran,male,27,0,0,8.4583
1,Mr. Timothy J McCarthy,male,54,0,0,51.8625
3,Master. Gosta Leonard Palsson,male,2,3,1,21.075
3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27,0,2,11.1333
2,Mrs. Nicholas (Adele Achem) Nasser,female,14,1,0,30.0708
3,Miss. Marguerite Rut Sandstrom,female,4,1,1,16.7
1,Miss. Elizabeth Bonnell,female,58,0,0,26.55
3,Mr. William Henry Saundercock,male,20,0,0,8.05
3,Mr. Anders Johan Andersson,male,39,1,5,31.275
3,Miss. Hulda Amanda Adolfina Vestrom,female,14,0,0,7.8542
2,Mrs. (Mary D Kingcome) Hewlett,female,55,0,0,16
3,Master. Eugene Rice,male,2,4,1,29.125
2,Mr. Charles Eugene Williams,male,23,0,0,13
3,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31,1,0,18
3,Mrs. Fatima Masselmani,female,22,0,0,7.225
2,Mr. Joseph J Fynney,male,35,0,0,26
2,Mr. Lawrence Beesley,male,34,0,0,13
3,Miss. Anna McGowan,female,15,0,0,8.0292
1,Mr. William Thompson Sloper,male,28,0,0,35.5
3,Miss. Torborg Danira Palsson,female,8,3,1,21.075
3,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38,1,5,31.3875
3,Mr. Farred Chehab Emir,male,26,0,0,7.225
1,Mr. Charles Alexander Fortune,male,19,3,2,263
3,Miss. Ellen O'Dwyer,female,24,0,0,7.8792
3,Mr. Lalio Todoroff,male,23,0,0,7.8958
1,Don. Manuel E Uruchurtu,male,40,0,0,27.7208
1,Mrs. William Augustus (Marie Eugenie) Spencer,female,48,1,0,146.5208
3,Miss. Mary Agatha Glynn,female,18,0,0,7.75
2,Mr. Edward H Wheadon,male,66,0,0,10.5
1,Mr. Edgar Joseph Meyer,male,28,1,0,82.1708
1,Mr. Alexander Oskar Holverson,male,42,1,0,52
3,Mr. Hanna Mamee,male,18,0,0,7.2292
3,Mr. Ernest Charles Cann,male,21,0,0,8.05
3,Miss. Augusta Maria Vander Planke,female,18,2,0,18
3,Miss. Jamila Nicola-Yarred,female,14,1,0,11.2417
3,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40,1,0,9.475
2,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27,1,0,21
2,Miss. Simonne Marie Anne Andree Laroche,female,3,1,2,41.5792
3,Miss. Margaret Delia Devaney,female,19,0,0,7.8792
3,Mr. William John Rogers,male,30,0,0,8.05
3,Mr. Denis Lennon,male,20,1,0,15.5
3,Miss. Bridget O'Driscoll,female,27,0,0,7.75
3,Mr. Youssef Samaan,male,16,2,0,21.6792
3,Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,18,1,0,17.8
